name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Arsenophonus sp. aPb	3041619	S	390	109	499	0.00000
Arsenophonus nasoniae	638	S	12982	1934	14916	0.00014
Arsenophonus apicola	2879119	S	1002	145	1147	0.00001
Candidatus Arsenophonus lipoptenae	634113	S	991	3	994	0.00001
Xenorhabdus doucetiae	351671	S	4988	171	5159	0.00005
Xenorhabdus sp. SF857	3026967	S	2368	132	2500	0.00002
Xenorhabdus poinarii	40577	S	1347	63	1410	0.00001
Xenorhabdus nematophila	628	S	798	3512	4310	0.00004
Xenorhabdus budapestensis	290110	S	662	19	681	0.00001
Xenorhabdus bovienii	40576	S	626	27	653	0.00001
Xenorhabdus griffiniae	351672	S	228	68	296	0.00000
Xenorhabdus hominickii	351679	S	75	3	78	0.00000
Photorhabdus asymbiotica	291112	S	2303	135	2438	0.00002
Photorhabdus laumondii	2218628	S	899	225	1124	0.00001
Photorhabdus akhurstii	171438	S	807	167	974	0.00001
Photorhabdus thracensis	230089	S	284	55	339	0.00000
Moellerella wisconsensis	158849	S	344	41	385	0.00000
Serratia symbiotica	138074	S	69728	973	70701	0.00066
Serratia sp. CMO1	2785630	S	11256	4364	15620	0.00015
Serratia sp. MYb239	2033438	S	3835	469	4304	0.00004
Serratia sp. P2ACOL2	2482769	S	959	72	1031	0.00001
Serratia sp. UGAL515B_01	2986763	S	751	14	765	0.00001
Serratia sp. FS14	1327989	S	545	73	618	0.00001
Serratia sp. JUb9	2724469	S	528	62	590	0.00001
Serratia sp. FGI94	671990	S	215	7	222	0.00000
Serratia sp. AS13	768493	S	118	13356	13474	0.00013
Serratia sp. FDAARGOS_506	2420306	S	57	4	61	0.00000
Serratia sp. JKS000199	1938820	S	31	87	118	0.00000
Serratia sp. 3ACOL1	2448483	S	12	0	12	0.00000
Serratia sp. JSRIV001	2831893	S	10	1	11	0.00000
Serratia marcescens	615	S	7094	23383	30477	0.00028
Serratia rubidaea	61652	S	4240	124	4364	0.00004
Serratia plymuthica	82996	S	3379	2234	5613	0.00005
Serratia nematodiphila	458197	S	802	261	1063	0.00001
Serratia ureilytica	300181	S	507	107	614	0.00001
